"","test_year","npredictors","region","brier_score"
"453",2013,2,9,0.1271
"454",2013,2,10,0.0902
"455",2013,2,11,0.1023
"456",2013,2,12,0.0867
"457",2013,3,1,0.06
"458",2013,3,2,0.0931
"459",2013,3,3,0.1153
"460",2013,3,4,0.0848
"461",2013,3,5,0.0849
"462",2013,3,6,0.1018
"463",2013,3,7,0.0966
"464",2013,3,8,0.1194
"465",2013,3,9,0.1197
"466",2013,3,10,0.0851
"467",2013,3,11,0.0956
"468",2013,3,12,0.0764
"469",2013,4,1,0.0623
"470",2013,4,2,0.0912
"471",2013,4,3,0.1102
"472",2013,4,4,0.0909
"473",2013,4,5,0.0855
"474",2013,4,6,0.0932
"475",2013,4,7,0.0968
"476",2013,4,8,0.1146
"477",2013,4,9,0.1135
"478",2013,4,10,0.0782
"479",2013,4,11,0.1006
"480",2013,4,12,0.0826
"481",2013,5,1,0.0636
"482",2013,5,2,0.0921
"483",2013,5,3,0.1122
"484",2013,5,4,0.0935
"485",2013,5,5,0.0802
"486",2013,5,6,0.0927
"487",2013,5,7,0.1014
"488",2013,5,8,0.1133
"489",2013,5,9,0.114
"490",2013,5,10,0.0761
"491",2013,5,11,0.0962
"492",2013,5,12,0.0799
"493",2013,6,1,0.0656
"494",2013,6,2,0.0954
"495",2013,6,3,0.1111
"496",2013,6,4,0.0925
"497",2013,6,5,0.0772
"498",2013,6,6,0.0923
"499",2013,6,7,0.0914
"500",2013,6,8,0.1146
"501",2013,6,9,0.1133
"502",2013,6,10,0.0783
"503",2013,6,11,0.0946
"504",2013,6,12,0.0791
"505",2013,1,1,0.0895
"506",2013,1,2,0.1051
"507",2013,1,3,0.1361
"508",2013,1,4,0.1049
"509",2013,1,5,0.1681
"510",2013,1,6,0.1255
"511",2013,1,7,0.0975
"512",2013,1,8,0.1457
"513",2013,1,9,0.1475
"514",2013,1,10,0.1031
"515",2013,1,11,0.1069
"516",2013,1,12,0.1049
"517",2013,2,1,0.095
"518",2013,2,2,0.0818
"519",2013,2,3,0.127
"520",2013,2,4,0.0968
"521",2013,2,5,0.1382
"522",2013,2,6,0.1028
"523",2013,2,7,0.0925
"524",2013,2,8,0.1207
